Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
merseyrail,Merseyrail,merseyrail,,0,
arriva-trains-wales,arriva trains wales,arriva-trains-wales,,1,
avanti,avanti,avanti,,2,
avanti-west-coast,avanti west coast,avanti-west-coast,,3,
c2c,c2c,c2c,,4,
chiltern,chiltern,chiltern,,5,
chiltern-railways-note-2,chiltern railways [note 2],chiltern-railways-note-2,,6,
cross-country,cross country,cross-country,,7,
crosscountry,crosscountry,crosscountry,,8,
east-coast,east coast,east-coast,,9,
east-midland-trains,east midland trains,east-midland-trains,,10,
east-midlands,east midlands,east-midlands,,11,
east-midlands-trains,east midlands trains,east-midlands-trains,,12,
elizabeth-line,elizabeth line,elizabeth-line,,13,
first-capital-connect,first capital connect,first-capital-connect,,14,
first-great-western,first great western,first-great-western,,15,
first-transpennine-express,first transpennine express,first-transpennine-express,,16,
govia-thameslink-great-northern,govia thameslink (great northern),govia-thameslink-great-northern,,17,
govia-thameslink-southern,govia thameslink (southern),govia-thameslink-southern,,18,
govia-thameslink-thameslink,govia thameslink (thameslink),govia-thameslink-thameslink,,19,
govia-thameslink-railway,govia thameslink railway,govia-thameslink-railway,,20,
govia-thameslink-railway-great-northern,govia thameslink railway (great northern),govia-thameslink-railway-great-northern,,21,
govia-thameslink-railway-southern,govia thameslink railway (southern),govia-thameslink-railway-southern,,22,
govia-thameslink-railway-thameslink,govia thameslink railway (thameslink),govia-thameslink-railway-thameslink,,23,
great-northern,great northern,great-northern,,24,
great-northern-thameslink,great northern & thameslink,great-northern-thameslink,,25,
great-western,great western,great-western,,26,
great-western-railway,great western railway,great-western-railway,,27,
great-western-railway-note-2,great western railway [note 2],great-western-railway-note-2,,28,
greater-anglia,greater anglia,greater-anglia,,29,
greater-anglia-note-2,greater anglia [note 2],greater-anglia-note-2,,30,
lner,lner,lner,,31,
london-midland,london midland,london-midland,,32,
london-midland-note-4,london midland [note 4],london-midland-note-4,,33,
london-north-eastern-railway,london north eastern railway,london-north-eastern-railway,,34,
london-overground,london overground,london-overground,,35,
london-overground-note-2,london overground [note 2],london-overground-note-2,,36,
merseyrail-note-2,merseyrail [note 2],merseyrail-note-2,,37,
merseyrail-note-5,merseyrail [note 5],merseyrail-note-5,,38,
national-express-east-anglia-note-2,national express east anglia [note 2],national-express-east-anglia-note-2,,39,
northern,northern,northern,,40,
northern-rail,northern rail,northern-rail,,41,
south-west-trains,south west trains,south-west-trains,,42,
south-western,south western,south-western,,43,
south-western-railway,south western railway,south-western-railway,,44,
southeastern,southeastern,southeastern,,45,
southern,southern,southern,,46,
tfl-rail,tfl rail,tfl-rail,,47,
tfl-rail-note-2,tfl rail [note 2],tfl-rail-note-2,,48,
tfw,tfw,tfw,,49,
thameslink,thameslink,thameslink,,50,
total,total,total,,51,
total-note-4,total [note 4],total-note-4,,52,
totalr,totalr,totalr,,53,
tpe,tpe,tpe,,54,
transpennine-express,transpennine express,transpennine-express,,55,
transport-for-wales,transport for wales,transport-for-wales,,56,
virgin-trains,virgin trains,virgin-trains,,57,
virgin-trains-east-coast,virgin trains east coast,virgin-trains-east-coast,,58,
virgin-trains-west-coast,virgin trains west coast,virgin-trains-west-coast,,59,
west-midlands,west midlands,west-midlands,,60,
west-midlands-trains,west midlands trains,west-midlands-trains,,61,
