Year,City,ONS Code,Train operator,AM peak arrivals (07:00-09:59): Number of services,AM peak arrivals (07:00-09:59): PIXC ,AM peak arrivals (07:00-09:59): Passengers standing ,PM peak arrivals (16:00-18:59): Number of services,PM peak arrivals (16:00-18:59): PIXC ,PM peak arrivals (16:00-18:59): Passengers standing ,Notes,Notes1
2011,Birmingham,E08000025,Arriva Trains Wales,6,0,0.053314121037464,6,0,0.00745341614906832,,
2011,Birmingham,E08000025,Chiltern Railways [note 2],8,0,0.13040901007706,8,0,0.0109739368998628,,
2011,Birmingham,E08000025,CrossCountry,36,0.0127553967948589,0.0488070817361228,42,0.0120683851855691,0.0570784355652561,,
2011,Birmingham,E08000025,London Midland,112,0.0411841398880282,0.160288365672214,115,0.0129318240099645,0.115250760156794,,
2011,Birmingham,E08000025,Virgin Trains,15,0,0.00977040828603936,15,0,0.0303645315318847,,
2011,Birmingham,E08000025,Total,177,0.0311499706040323,0.128744587220997,186,0.0109069822866099,0.0912606789286041,,
2011,Bristol,E06000023,CrossCountry,9,0.00468927757517884,0.00468927757517884,10,0.0127583496881873,0.0239386929675726,,
2011,Bristol,E06000023,First Great Western,42,0.00854910345382215,0.0461797462267502,42,0.00782198868730624,0.0890765697723706,,
2011,Bristol,E06000023,South West Trains,1,,,0,,,[r],[x]
2011,Bristol,E06000023,Total,52,0.00773496409799316,0.0382330527578805,52,0.00881479367485311,0.0759759863753146,,
2011,Cardiff,W06000015,Arriva Trains Wales,95,0.00908304498269896,0.0646626297577855,97,0.00550346514472075,0.0595189563799429,,
2011,Cardiff,W06000015,CrossCountry,3,0,0,3,0,0,,
2011,Cardiff,W06000015,First Great Western,15,0,0,15,0,0,,
2011,Cardiff,W06000015,Total,113,0.00732522266786367,0.0521486089926485,115,0.00430884198680643,0.0465993281536103,,
2011,Leeds,E08000035,CrossCountry,4,0.00089014942985071,0.00089014942985071,8,0.0132641045683433,0.0464416788238049,,
2011,Leeds,E08000035,East Coast,6,0,0.00219056063698787,6,0,0,,
2011,Leeds,E08000035,First TransPennine Express,22,0.0527200846712033,0.218978867563711,25,0.0246906625725315,0.178686953434523,,
2011,Leeds,E08000035,Northern Rail,77,0.0144730890999548,0.127737933708083,75,0.0135266325804155,0.118568377451298,,
2011,Leeds,E08000035,Total,109,0.0215587920130352,0.135190212577878,114,0.0148010438641971,0.116840328353363,,
2011,Leicester,E06000016,CrossCountry,10,0,0,10,0,0.00359538841574396,,
2011,Leicester,E06000016,East Midlands Trains,28,0.00748997901669447,0.0137750534002921,27,0.00785221322035349,0.0241947167457196,,
2011,Leicester,E06000016,Total,38,0.00603856241914504,0.0111057079865399,37,0.00636164423504817,0.0202843899289192,,
2011,Liverpool,E08000012,East Midlands Trains,2,,,3,0,0,[r],
2011,Liverpool,E08000012,First TransPennine Express,3,0,0,3,0,0.175773637749421,,
2011,Liverpool,E08000012,London Midland,6,0,0,6,0,0,,
2011,Liverpool,E08000012,Merseyrail [note 2],90,0.000120853223759744,0.0377666324249199,95,0,0.0371600836717116,,
2011,Liverpool,E08000012,Northern Rail,23,0,0.0422264875239923,26,0.0224407463439233,0.14952092788704,,
2011,Liverpool,E08000012,Virgin Trains,2,,,3,0,0,[r],
2011,Liverpool,E08000012,Total,126,0.00107262549930651,0.039355891481908,136,0.00396225441936795,0.057733884659211,,
2011,London ,E12000007,c2c,48,0.0388489208633093,0.212725819344524,44,0.00983926693705874,0.108757698663061,,
2011,London ,E12000007,Chiltern Railways [note 2],43,0.0492034842658715,0.0838107196107667,46,0.0121914956883735,0.0505501040737437,,
2011,London ,E12000007,East Coast,14,0,0,16,0.00146607701056327,0.00146607701056327,,
